,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Bathroom
0,2,10000,1100,0,Super Area,Kolkata,Unfurnished,2
1,2,20000,800,1,Super Area,Kolkata,Semi-Furnished,1
2,2,17000,1000,1,Super Area,Kolkata,Semi-Furnished,1
3,2,10000,800,1,Super Area,Kolkata,Unfurnished,1
4,2,7500,850,1,Carpet Area,Kolkata,Unfurnished,1
5,2,7000,600,0,Super Area,Kolkata,Unfurnished,2
6,2,10000,700,0,Super Area,Kolkata,Unfurnished,2
7,1,5000,250,1,Super Area,Kolkata,Unfurnished,1
8,2,26000,800,1,Carpet Area,Kolkata,Unfurnished,2
9,2,10000,1000,1,Carpet Area,Kolkata,Semi-Furnished,2
10,3,25000,1200,1,Carpet Area,Kolkata,Semi-Furnished,2
11,1,5000,400,1,Carpet Area,Kolkata,Unfurnished,1
12,1,6500,250,1,Carpet Area,Kolkata,Furnished,1
13,1,5500,375,1,Carpet Area,Kolkata,Unfurnished,1
14,3,8500,900,0,Carpet Area,Kolkata,Unfurnished,2
15,3,40000,1286,1,Carpet Area,Kolkata,Furnished,2
16,2,6000,600,1,Super Area,Kolkata,Semi-Furnished,1
17,2,10000,800,0,Super Area,Kolkata,Unfurnished,1
18,2,11000,2000,0,Carpet Area,Kolkata,Unfurnished,1
19,2,6000,660,1,Super Area,Kolkata,Unfurnished,1
20,2,7900,650,1,Carpet Area,Kolkata,Unfurnished,1
21,2,9000,400,2,Carpet Area,Kolkata,Unfurnished,2
22,1,4000,300,0,Carpet Area,Kolkata,Unfurnished,1
23,3,6500,1600,0,Super Area,Kolkata,Unfurnished,1
24,1,8000,400,1,Super Area,Kolkata,Semi-Furnished,1
25,2,7000,1000,1,Super Area,Kolkata,Unfurnished,1
26,1,5300,355,1,Carpet Area,Kolkata,Semi-Furnished,1
27,2,6000,1000,0,Super Area,Kolkata,Semi-Furnished,1
28,2,8500,800,4,Super Area,Kolkata,Unfurnished,1
29,2,12500,850,0,Super Area,Kolkata,Unfurnished,2
30,1,7500,350,0,Carpet Area,Kolkata,Unfurnished,1
31,2,15000,900,0,Carpet Area,Kolkata,Unfurnished,2
32,2,6000,550,1,Super Area,Kolkata,Semi-Furnished,1
33,2,5000,500,0,Carpet Area,Kolkata,Unfurnished,2
34,3,22000,1100,2,Carpet Area,Kolkata,Unfurnished,1
35,2,15000,850,1,Carpet Area,Kolkata,Semi-Furnished,1
36,2,12500,800,2,Carpet Area,Kolkata,Unfurnished,1
37,2,7000,630,0,Carpet Area,Kolkata,Unfurnished,1
38,2,21000,900,1,Carpet Area,Kolkata,Semi-Furnished,2
39,1,10000,270,1,Carpet Area,Kolkata,Semi-Furnished,1
40,2,7200,630,0,Carpet Area,Kolkata,Semi-Furnished,1
41,3,12000,1500,0,Carpet Area,Kolkata,Furnished,2
42,1,5000,600,2,Super Area,Kolkata,Unfurnished,1
43,2,8500,700,4,Carpet Area,Kolkata,Semi-Furnished,1
44,1,6000,300,0,Super Area,Kolkata,Semi-Furnished,1
45,2,10000,1300,0,Super Area,Kolkata,Semi-Furnished,2
46,2,4600,400,3,Carpet Area,Kolkata,Semi-Furnished,1
47,2,12000,650,0,Super Area,Kolkata,Unfurnished,2
48,3,30000,2000,0,Super Area,Kolkata,Semi-Furnished,2
49,3,15000,1068,0,Super Area,Kolkata,Semi-Furnished,2
50,1,7500,150,1,Super Area,Kolkata,Furnished,1
51,1,7500,450,2,Carpet Area,Kolkata,Unfurnished,1
52,2,5000,800,0,Carpet Area,Kolkata,Unfurnished,1
53,2,15000,1000,0,Super Area,Kolkata,Unfurnished,2
54,2,11000,900,5,Super Area,Kolkata,Semi-Furnished,1
55,1,7000,600,0,Carpet Area,Kolkata,Unfurnished,1
56,2,6000,1200,1,Super Area,Kolkata,Unfurnished,1
57,2,6000,1200,2,Super Area,Kolkata,Semi-Furnished,2
58,2,7000,650,0,Super Area,Kolkata,Semi-Furnished,2
59,2,8500,720,4,Carpet Area,Kolkata,Semi-Furnished,2
60,1,5000,300,1,Carpet Area,Kolkata,Unfurnished,1
61,3,30000,1200,0,Carpet Area,Kolkata,Unfurnished,3
62,2,10000,700,7,Carpet Area,Kolkata,Unfurnished,2
63,3,30000,2000,1,Super Area,Kolkata,Semi-Furnished,2
64,1,3500,250,0,Super Area,Kolkata,Semi-Furnished,1
65,2,8000,1100,0,Carpet Area,Kolkata,Unfurnished,1
66,1,5000,300,0,Carpet Area,Kolkata,Unfurnished,1
67,2,7500,600,0,Super Area,Kolkata,Semi-Furnished,1
68,2,6500,800,0,Carpet Area,Kolkata,Unfurnished,1
69,1,7500,680,1,Super Area,Kolkata,Unfurnished,1
70,1,7500,680,0,Super Area,Kolkata,Unfurnished,1
71,2,16000,850,1,Carpet Area,Kolkata,Semi-Furnished,1
72,2,16000,850,1,Carpet Area,Kolkata,Semi-Furnished,1
73,2,6500,700,0,Super Area,Kolkata,Unfurnished,1
74,3,40000,1500,0,Super Area,Kolkata,Unfurnished,2
75,2,12500,950,1,Super Area,Kolkata,Semi-Furnished,2
76,2,5500,500,0,Super Area,Kolkata,Unfurnished,1
77,1,5000,450,2,Carpet Area,Kolkata,Semi-Furnished,1
78,2,6500,700,0,Super Area,Kolkata,Unfurnished,1
79,1,8000,500,1,Super Area,Kolkata,Unfurnished,1
80,3,14500,1800,0,Super Area,Kolkata,Semi-Furnished,2
81,1,8200,500,1,Carpet Area,Kolkata,Semi-Furnished,1
82,2,15000,480,0,Carpet Area,Kolkata,Furnished,2
83,6,20000,1000,1,Super Area,Kolkata,Semi-Furnished,2
84,2,6700,800,1,Super Area,Kolkata,Furnished,1
85,1,10000,435,2,Super Area,Kolkata,Unfurnished,1
86,2,7000,700,0,Carpet Area,Kolkata,Semi-Furnished,2
87,2,22000,800,4,Super Area,Kolkata,Furnished,1
88,2,6500,450,1,Super Area,Kolkata,Unfurnished,1
89,2,8500,550,2,Carpet Area,Kolkata,Semi-Furnished,1
90,2,18000,800,0,Carpet Area,Kolkata,Unfurnished,2
91,2,12000,550,0,Carpet Area,Kolkata,Semi-Furnished,2
92,1,9000,600,2,Super Area,Kolkata,Furnished,1
93,1,6000,500,0,Super Area,Kolkata,Unfurnished,1
94,2,20000,1000,1,Super Area,Kolkata,Furnished,2
95,1,5000,300,1,Carpet Area,Kolkata,Unfurnished,1
96,2,12000,1200,1,Super Area,Kolkata,Furnished,2
97,2,10000,500,3,Carpet Area,Kolkata,Semi-Furnished,1
98,4,18000,1200,1,Super Area,Kolkata,Unfurnished,2
99,2,15000,900,1,Carpet Area,Kolkata,Semi-Furnished,2
100,3,22000,1300,0,Carpet Area,Kolkata,Unfurnished,3
101,4,35000,1600,1,Carpet Area,Kolkata,Unfurnished,3
102,3,21000,1450,0,Super Area,Kolkata,Unfurnished,2
103,2,25000,1100,2,Super Area,Kolkata,Furnished,2
104,2,180000,950,0,Carpet Area,Kolkata,Unfurnished,2
105,1,6000,600,8,Carpet Area,Kolkata,Unfurnished,1
106,2,14000,700,0,Carpet Area,Kolkata,Unfurnished,2
107,3,8000,750,0,Super Area,Kolkata,Unfurnished,1
108,2,8000,1000,0,Super Area,Kolkata,Unfurnished,1
109,1,6000,220,0,Super Area,Kolkata,Furnished,1
110,1,8000,300,1,Carpet Area,Kolkata,Semi-Furnished,1
111,1,6000,300,0,Carpet Area,Kolkata,Unfurnished,1
112,1,20000,700,1,Super Area,Kolkata,Semi-Furnished,1
113,3,12000,800,0,Super Area,Kolkata,Unfurnished,2
114,3,15000,1600,1,Super Area,Kolkata,Unfurnished,2
115,2,14000,1000,1,Carpet Area,Kolkata,Unfurnished,2
116,1,5000,20,2,Super Area,Kolkata,Unfurnished,1
117,2,7000,400,0,Carpet Area,Kolkata,Unfurnished,1
118,1,3900,200,2,Super Area,Kolkata,Furnished,1
119,3,14000,840,1,Carpet Area,Kolkata,Unfurnished,2
120,1,6300,300,1,Carpet Area,Kolkata,Unfurnished,1
121,2,13000,550,1,Carpet Area,Kolkata,Furnished,2
122,1,6800,300,1,Carpet Area,Kolkata,Unfurnished,1
123,2,8000,800,1,Super Area,Kolkata,Unfurnished,2
124,2,10000,740,0,Carpet Area,Kolkata,Unfurnished,1
125,2,18000,1300,1,Super Area,Kolkata,Unfurnished,2
126,2,8000,650,0,Super Area,Kolkata,Semi-Furnished,1
127,2,8000,490,1,Super Area,Kolkata,Semi-Furnished,1
128,1,4700,250,2,Super Area,Kolkata,Furnished,1
129,1,4700,250,0,Super Area,Kolkata,Furnished,1
130,1,4500,450,1,Super Area,Kolkata,Unfurnished,1
131,1,6000,300,0,Carpet Area,Kolkata,Semi-Furnished,1
132,2,16000,750,1,Super Area,Kolkata,Unfurnished,2
133,1,4700,250,1,Super Area,Kolkata,Furnished,1
134,2,14000,751,3,Carpet Area,Kolkata,Unfurnished,1
135,2,9000,900,0,Carpet Area,Kolkata,Semi-Furnished,1
136,2,5000,400,1,Carpet Area,Kolkata,Semi-Furnished,1
137,2,17500,1000,0,Carpet Area,Kolkata,Semi-Furnished,2
138,2,8500,1000,0,Carpet Area,Kolkata,Unfurnished,1
139,3,15000,1500,1,Carpet Area,Kolkata,Semi-Furnished,2
140,2,12500,750,1,Carpet Area,Kolkata,Unfurnished,2
141,1,13000,1200,2,Super Area,Kolkata,Semi-Furnished,1
142,2,8000,700,0,Super Area,Kolkata,Unfurnished,1
143,2,8000,700,4,Carpet Area,Kolkata,Furnished,1
144,2,8000,1000,0,Super Area,Kolkata,Semi-Furnished,1
145,2,7000,1200,1,Super Area,Kolkata,Unfurnished,2
146,2,2200,550,2,Super Area,Kolkata,Furnished,1
147,2,8000,800,0,Carpet Area,Kolkata,Unfurnished,1
148,2,5500,280,1,Super Area,Kolkata,Unfurnished,1
149,3,20000,1100,0,Super Area,Kolkata,Unfurnished,3
150,2,7000,950,0,Super Area,Kolkata,Unfurnished,1
151,1,3500,250,1,Super Area,Kolkata,Furnished,1
152,2,5000,1000,0,Carpet Area,Kolkata,Unfurnished,1
153,3,20000,1000,0,Carpet Area,Kolkata,Semi-Furnished,2
154,2,7000,650,0,Super Area,Kolkata,Unfurnished,1
155,2,10000,700,1,Super Area,Kolkata,Unfurnished,2
156,2,7000,700,0,Carpet Area,Kolkata,Unfurnished,1
157,3,12000,1000,0,Super Area,Kolkata,Semi-Furnished,2
158,2,14500,900,1,Carpet Area,Kolkata,Unfurnished,2
159,1,6000,700,1,Super Area,Kolkata,Unfurnished,1
160,2,9500,700,1,Super Area,Kolkata,Unfurnished,2
161,2,10000,450,2,Carpet Area,Kolkata,Semi-Furnished,2
162,1,3500,120,0,Super Area,Kolkata,Unfurnished,1
163,2,9000,800,1,Super Area,Kolkata,Semi-Furnished,2
164,3,40000,1220,2,Carpet Area,Kolkata,Unfurnished,2
165,3,16500,1100,0,Super Area,Kolkata,Unfurnished,1
166,3,8000,700,0,Carpet Area,Kolkata,Unfurnished,2
167,2,12000,800,0,Super Area,Kolkata,Furnished,1
168,2,6500,670,2,Super Area,Kolkata,Unfurnished,1
169,4,40000,1300,1,Super Area,Kolkata,Unfurnished,3
170,1,5000,190,0,Super Area,Kolkata,Semi-Furnished,1
171,2,9000,700,0,Super Area,Kolkata,Semi-Furnished,1
172,1,7000,240,0,Carpet Area,Kolkata,Unfurnished,1
173,2,18000,850,2,Carpet Area,Kolkata,Semi-Furnished,1
174,1,9000,950,1,Super Area,Kolkata,Unfurnished,2
175,1,5500,450,1,Carpet Area,Kolkata,Furnished,1
176,2,7500,800,0,Carpet Area,Kolkata,Unfurnished,1
177,2,4000,600,1,Carpet Area,Kolkata,Unfurnished,1
178,3,10500,800,2,Carpet Area,Kolkata,Unfurnished,2
179,3,15000,1100,0,Carpet Area,Kolkata,Unfurnished,2
180,2,15000,800,0,Carpet Area,Kolkata,Furnished,1
181,1,50000,2200,2,Super Area,Kolkata,Furnished,3
182,2,12000,950,1,Carpet Area,Kolkata,Unfurnished,2
183,2,11000,550,2,Carpet Area,Kolkata,Unfurnished,1
184,2,12000,1800,1,Carpet Area,Kolkata,Unfurnished,2
185,2,8000,1000,0,Super Area,Kolkata,Furnished,1
186,2,18000,600,0,Super Area,Kolkata,Semi-Furnished,2
187,2,8000,750,2,Carpet Area,Kolkata,Semi-Furnished,2
188,2,7000,685,2,Super Area,Kolkata,Unfurnished,1
189,1,6500,44,0,Carpet Area,Kolkata,Furnished,1
190,4,13000,1200,0,Carpet Area,Kolkata,Unfurnished,1
191,2,9000,500,0,Carpet Area,Kolkata,Unfurnished,1
192,4,10000,1110,2,Carpet Area,Kolkata,Unfurnished,2
193,2,12000,1000,1,Super Area,Kolkata,Unfurnished,2
194,2,5000,392,0,Super Area,Kolkata,Unfurnished,1
195,2,6000,700,1,Super Area,Kolkata,Unfurnished,1
196,1,5200,750,2,Super Area,Kolkata,Unfurnished,1
197,3,15000,1500,1,Super Area,Kolkata,Unfurnished,2
198,2,9000,900,0,Super Area,Kolkata,Unfurnished,2
199,1,24000,710,1,Super Area,Kolkata,Furnished,1
200,1,5500,400,0,Carpet Area,Kolkata,Unfurnished,1
201,1,10000,700,1,Carpet Area,Kolkata,Unfurnished,1
202,2,15000,1000,0,Carpet Area,Kolkata,Semi-Furnished,1
203,1,4700,250,1,Super Area,Kolkata,Furnished,1
204,1,5000,500,0,Carpet Area,Kolkata,Semi-Furnished,1
205,2,5000,450,2,Carpet Area,Kolkata,Semi-Furnished,1
206,3,15000,1400,1,Super Area,Kolkata,Unfurnished,1
207,1,5000,500,1,Carpet Area,Kolkata,Semi-Furnished,1
208,2,6000,700,0,Carpet Area,Kolkata,Unfurnished,1
209,3,18000,1200,1,Carpet Area,Kolkata,Semi-Furnished,1
210,2,8000,450,1,Carpet Area,Kolkata,Unfurnished,1
211,1,13000,500,2,Carpet Area,Kolkata,Furnished,1
212,2,7500,400,0,Carpet Area,Kolkata,Unfurnished,1
213,3,12000,1000,0,Super Area,Kolkata,Unfurnished,2
214,2,11000,750,0,Carpet Area,Kolkata,Unfurnished,1
215,1,6000,450,0,Super Area,Kolkata,Unfurnished,1
216,3,20000,1000,1,Carpet Area,Kolkata,Unfurnished,2
217,2,7000,500,1,Carpet Area,Kolkata,Unfurnished,2
218,4,30000,1600,0,Carpet Area,Kolkata,Unfurnished,2
219,2,7500,550,0,Carpet Area,Kolkata,Unfurnished,1
220,1,6500,550,1,Super Area,Kolkata,Unfurnished,2
221,1,3000,200,2,Super Area,Kolkata,Unfurnished,1
222,2,5200,650,1,Carpet Area,Kolkata,Unfurnished,1
223,2,25000,1000,1,Super Area,Kolkata,Furnished,2
224,2,12500,680,0,Carpet Area,Kolkata,Unfurnished,2
225,2,8500,720,0,Carpet Area,Kolkata,Unfurnished,2
226,2,3500,500,4,Carpet Area,Kolkata,Unfurnished,1
227,2,7000,800,0,Super Area,Kolkata,Unfurnished,1
228,1,3000,160,0,Super Area,Kolkata,Unfurnished,1
229,2,14000,1200,1,Carpet Area,Kolkata,Unfurnished,2
230,1,18000,700,0,Super Area,Kolkata,Furnished,1
231,1,3500,1000,0,Super Area,Kolkata,Semi-Furnished,1
232,2,16000,1250,0,Super Area,Kolkata,Unfurnished,2
233,4,35000,1600,0,Super Area,Kolkata,Unfurnished,3
234,2,21000,700,0,Super Area,Kolkata,Semi-Furnished,1
235,1,4500,450,0,Super Area,Kolkata,Unfurnished,1
236,2,15000,839,1,Super Area,Kolkata,Semi-Furnished,2
237,1,4500,230,0,Super Area,Kolkata,Unfurnished,1
238,1,5500,1800,0,Super Area,Kolkata,Unfurnished,1
239,2,8500,800,1,Super Area,Kolkata,Unfurnished,2
240,1,5000,500,0,Carpet Area,Kolkata,Semi-Furnished,1
241,2,8500,620,0,Carpet Area,Kolkata,Unfurnished,1
242,2,9000,650,2,Carpet Area,Kolkata,Unfurnished,1
243,1,7500,550,1,Super Area,Kolkata,Semi-Furnished,1
244,2,7000,450,1,Carpet Area,Kolkata,Furnished,2
245,3,15000,1350,1,Carpet Area,Kolkata,Unfurnished,2
246,2,7000,600,2,Super Area,Kolkata,Semi-Furnished,2
247,3,10000,1200,2,Super Area,Kolkata,Furnished,1
248,2,7000,700,1,Super Area,Kolkata,Unfurnished,1
249,3,3200,800,1,Carpet Area,Kolkata,Furnished,2
250,2,6000,600,0,Carpet Area,Kolkata,Semi-Furnished,1
251,2,12000,900,1,Super Area,Kolkata,Unfurnished,2
252,2,6000,750,0,Super Area,Kolkata,Unfurnished,1
253,3,10000,1250,1,Super Area,Kolkata,Unfurnished,2
254,3,12000,1000,2,Super Area,Kolkata,Semi-Furnished,3
255,2,8000,600,0,Super Area,Kolkata,Semi-Furnished,1
256,2,5300,650,1,Carpet Area,Kolkata,Unfurnished,1
257,2,5000,450,2,Carpet Area,Kolkata,Unfurnished,1
258,3,8500,800,0,Super Area,Kolkata,Unfurnished,2
259,3,22000,1000,0,Carpet Area,Kolkata,Semi-Furnished,2
260,2,7000,1000,0,Super Area,Kolkata,Unfurnished,1
261,3,25000,1400,5,Carpet Area,Kolkata,Furnished,3
262,2,7000,600,1,Carpet Area,Kolkata,Semi-Furnished,1
263,2,15000,723,0,Carpet Area,Kolkata,Furnished,1
264,1,6000,320,0,Carpet Area,Kolkata,Unfurnished,1
265,2,8000,900,0,Super Area,Kolkata,Semi-Furnished,1
266,3,40000,1400,0,Carpet Area,Kolkata,Furnished,2
267,1,6000,2160,1,Super Area,Kolkata,Semi-Furnished,1
268,2,15000,650,0,Carpet Area,Kolkata,Semi-Furnished,1
269,2,6500,800,1,Super Area,Kolkata,Semi-Furnished,1
270,3,8000,800,2,Super Area,Kolkata,Semi-Furnished,1
271,1,5500,500,0,Carpet Area,Kolkata,Unfurnished,1
272,3,9000,1700,1,Super Area,Kolkata,Semi-Furnished,2
273,1,6000,130,0,Carpet Area,Kolkata,Semi-Furnished,1
274,1,15000,505,0,Super Area,Kolkata,Furnished,1
275,4,30000,4000,0,Super Area,Kolkata,Furnished,3
276,3,30000,1250,0,Super Area,Kolkata,Unfurnished,2
277,1,5000,700,0,Carpet Area,Kolkata,Unfurnished,1
278,2,15000,900,0,Super Area,Kolkata,Unfurnished,1
279,1,6500,650,1,Super Area,Kolkata,Semi-Furnished,1
280,2,4500,750,0,Super Area,Kolkata,Furnished,1
281,2,7000,450,0,Carpet Area,Kolkata,Unfurnished,1
282,1,6500,350,1,Carpet Area,Kolkata,Semi-Furnished,1
283,1,17500,480,1,Carpet Area,Kolkata,Furnished,2
284,2,10000,900,0,Super Area,Kolkata,Unfurnished,1
285,1,1500,200,0,Super Area,Kolkata,Semi-Furnished,1
286,3,25000,1100,2,Super Area,Kolkata,Unfurnished,3
287,2,12000,800,1,Carpet Area,Kolkata,Unfurnished,1
288,3,7500,1000,0,Carpet Area,Kolkata,Furnished,2
289,1,7000,800,1,Carpet Area,Kolkata,Unfurnished,1
291,3,10000,1190,1,Carpet Area,Kolkata,Unfurnished,2
292,2,14000,900,0,Carpet Area,Kolkata,Unfurnished,2
293,2,15000,1500,0,Super Area,Kolkata,Unfurnished,2
294,2,6500,600,2,Super Area,Kolkata,Unfurnished,1
295,3,10000,800,0,Super Area,Kolkata,Unfurnished,1
296,2,10500,800,1,Carpet Area,Kolkata,Unfurnished,2
297,3,10000,900,0,Carpet Area,Kolkata,Semi-Furnished,2
298,1,5000,350,0,Carpet Area,Kolkata,Semi-Furnished,1
299,2,9000,800,0,Carpet Area,Kolkata,Unfurnished,1
300,2,20000,1600,0,Carpet Area,Kolkata,Unfurnished,2
